review_id,review_text,rating,review_text_clean,rating_filled,rating_normalized,tfidf_&,tfidf_acting,tfidf_amazing,tfidf_movie!,tfidf_plot!!!,tfidf_terrible
1,<p>Amazing movie!</p>,8,amazing movie!,8,0.8,0,0,0.787682072,0.787682072,0,0
2,Terrible acting & plot!!!,2,terrible acting & plot!!!,2,0.2,0.423286795,0.423286795,0,0,0.423286795,0.423286795
3,<p>Amazing movie!</p>,,amazing movie!,8,0.8,0,0,0.787682072,0.787682072,0,0
4,Terrible acting & plot!!!,8,terrible acting & plot!!!,8,0.8,0.423286795,0.423286795,0,0,0.423286795,0.423286795
5,<p>Amazing movie!</p>,5,amazing movie!,5,0.5,0,0,0.787682072,0.787682072,0,0
6,Terrible acting & plot!!!,2,terrible acting & plot!!!,2,0.2,0.423286795,0.423286795,0,0,0.423286795,0.423286795
7,<p>Amazing movie!</p>,8,amazing movie!,8,0.8,0,0,0.787682072,0.787682072,0,0
8,Terrible acting & plot!!!,8,terrible acting & plot!!!,8,0.8,0.423286795,0.423286795,0,0,0.423286795,0.423286795
9,<p>Amazing movie!</p>,10,amazing movie!,10,1,0,0,0.787682072,0.787682072,0,0
10,Terrible acting & plot!!!,5,terrible acting & plot!!!,5,0.5,0.423286795,0.423286795,0,0,0.423286795,0.423286795
11,<p>Amazing movie!</p>,8,amazing movie!,8,0.8,0,0,0.787682072,0.787682072,0,0
12,Terrible acting & plot!!!,2,terrible acting & plot!!!,2,0.2,0.423286795,0.423286795,0,0,0.423286795,0.423286795
13,<p>Amazing movie!</p>,10,amazing movie!,10,1,0,0,0.787682072,0.787682072,0,0
14,Terrible acting & plot!!!,8,terrible acting & plot!!!,8,0.8,0.423286795,0.423286795,0,0,0.423286795,0.423286795
15,<p>Amazing movie!</p>,,amazing movie!,8,0.8,0,0,0.787682072,0.787682072,0,0
